dtype,precision,registers,sketch_kb,exact,estimate,relative_error,limit,within_threshold,source_xml_sha256
I32,18,262144,256,2,2,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,3,3,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,7,7,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,31,31,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,128,128,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,1024,1026,0.001953125,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,4096,4108,0.0029296875,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,8195,8201,0.0007321537522879804,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,32768,32789,0.000640869140625,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,65537,65528,0.00013732700611868105,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,131072,131340,0.002044677734375,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,1048576,1049563,0.0009412765502929688,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,100000000,100286606,0.00286606,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,0,0,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,1,1,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,2,2,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,3,3,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,7,7,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,31,31,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,128,128,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,1024,1027,0.0029296875,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,4096,4046,0.01220703125,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,8195,8270,0.009151921903599756,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,32768,32654,0.00347900390625,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,65537,65554,0.0002593954560019531,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,131072,132647,0.01201629638671875,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,1048576,1052389,0.0036363601684570312,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,13,8192,8,100000000,100155215,0.00155215,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,0,0,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,1,1,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,2,2,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,3,3,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,7,7,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,31,31,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,128,127,0.0078125,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,1024,1019,0.0048828125,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,4096,4060,0.0087890625,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,8195,8201,0.0007321537522879804,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,32768,32897,0.003936767578125,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,65537,65825,0.004394464195797794,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,131072,131117,0.00034332275390625,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,1048576,1057593,0.008599281311035156,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,14,16384,16,100000000,99757052,0.00242948,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,0,0,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,1,1,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,2,2,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,3,3,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,7,7,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,31,31,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,128,127,0.0078125,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,1024,1021,0.0029296875,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,4096,4087,0.002197265625,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,8195,8234,0.004758999389871873,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,32768,32887,0.003631591796875,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,65537,66130,0.00904832384759754,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,131072,131632,0.0042724609375,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,1048576,1048105,0.00044918060302734375,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,15,32768,32,100000000,99806054,0.00193946,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,0,0,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,1,1,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,2,2,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,3,3,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,7,7,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,31,31,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,128,127,0.0078125,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,1024,1023,0.0009765625,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,4096,4100,0.0009765625,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,8195,8241,0.005613178767541183,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,32768,32825,0.001739501953125,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,65537,65515,0.0003356882371789981,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,131072,131721,0.00495147705078125,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,1048576,1043410,0.0049266815185546875,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,16,65536,64,100000000,99871963,0.00128037,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,0,0,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,1,1,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,2,2,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,3,3,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,7,7,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,31,31,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,128,128,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,1024,1023,0.0009765625,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,4096,4100,0.0009765625,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,8195,8235,0.004881025015253203,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,32768,32776,0.000244140625,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
